name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Plato Cafe & Bistro (吳松街),吳松街186-188號地舖,佐敦,意大利菜,西式,,$101-200,1169,32
慢理牆城,砵蘭街28號M1酒店1樓,油麻地,西式,甜品,糖水,$201-400,910,20
GRIND SIZE,通菜街10號地舖,旺角,西式,All Day Breakfast,,$101-200,541,9
SABROSA,怡和街22號3樓,銅鑼灣,西班牙菜,,,$201-400,583,5
古今二 (The ONE),彌敦道100號The ONE 5樓502號舖,尖沙咀,日本菜,壽司,刺身,$201-400,645,11
Apinara,金鐘道88號太古廣場L2樓205號舖,金鐘,泰國菜,海鮮,,$201-400,668,14
何蘭正,雲咸街29號LKF29 2樓,中環,多國菜,酒,,$101-200,523,4
焱丸水產,棉登徑23號華楓大廈地下5&6號舖,尖沙咀,日本菜,海鮮,,$201-400,1376,27
Lucky Ristorante,上海街618號3樓301B號舖,旺角,意大利菜,西式,,$101-200,649,7
HIKARI,大壩街21號地舖,荃灣,西式,西式糕點,,$101-200,734,7
Espresso Alchemy,廣東道3-27號海港城港威商場地下G104號舖,尖沙咀,西式,All Day Breakfast,,$101-200,664,3
Mano (海濱匯),海濱道77號海濱匯1樓4號舖,觀塘,意大利菜,西式,,$101-200,545,7
Flagship,船街35號地舖,灣仔,西式,扒房,,$201-400,511,8
Espresso Alchemy,彌敦道132號美麗華廣場1期B1樓B116號舖,尖沙咀,西式,三文治,,$101-200,1041,23
新泰東南亞餐廳,加拿分道25-31號國際商業信貸銀行大廈地下1A號舖及地庫,尖沙咀,泰國菜,咖喱,,$101-200,850,30
8Five2 Restobar,天文臺道8號地下2號舖,尖沙咀,墨西哥菜,,,$101-200,740,21
火鍋隨意門,堅拿道西10號冠景樓1樓A室,銅鑼灣,多國菜,火鍋,,$201-400,570,6
URBAN Cafe (駱駝漆大廈第一座),開源道62號駱駝漆大廈第一座6樓,觀塘,多國菜,甜品,糖水,$101-200,954,12
云手工火鍋店,加連威老道20號瑞生尖沙咀酒店3樓,尖沙咀,粵菜 (廣東),火鍋,,$201-400,602,2
芝樂坊餐廳,廣東道25號海港城港威商場地下G102號舖,尖沙咀,美國菜,漢堡包,,$101-200,872,76
燒肉臻,寶勒巷3-7A號萬事昌廣場1樓102號舖,尖沙咀,日本菜,燒烤,,$201-400,557,5
ASOK THAI GARDEN,亞士厘道37號地舖,尖沙咀,泰國菜,西式,,$101-200,530,16
