name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Café Bohème,唐賢街29號藍塘傲地下8號舖,將軍澳,意大利菜,酒,,$101-200,24,3
Ulivo Italian Restaurant & Bar,海濱道77號海濱匯1樓9-10號舖,觀塘,意大利菜,,,$101-200,43,3
PizzaExpress (東薈城名店倉),達東路20號東薈城名店倉地下G21號舖,東涌,意大利菜,薄餅,,$101-200,45,6
Man Mano,達東路20號東薈城名店倉4樓418號舖,東涌,意大利菜,,,$101-200,69,9
PizzaExpress (One Island South),香葉道2號 One Island South 地下G03號舖,黃竹坑,意大利菜,薄餅,,$101-200,44,4
Fratelli,海灘道28號The Pulse L1樓112B號舖,淺水灣,意大利菜,酒吧,,$101-200,20,3
Harbourview Grill (香港科學園),白石角香港科學園科技大道東12號12E大樓二座地下S081號舖,沙田,意大利菜,美國菜,,$101-200,16,4
Mendel‘s delicatessen,堅尼地城吉席街66號地舖,西環,意大利菜,,,$101-200,13,1
必勝客,西洋菜南街168號2樓,旺角,意大利菜,薄餅,,$101-200,48,9
Daphne,石澳村330號地舖,石澳,意大利菜,西式,,$101-200,28,3
意粉屋,太古城道18號太古城中心1樓142號舖,太古,意大利菜,薄餅,,$101-200,41,5
Dough Bros Pizza & Doughnuts (富利商業大廈),庇利金街14-20號富利商業大廈地下1號舖,佐敦,意大利菜,薄餅,,$101-200,18,0
Pizzeria Italia (高街),西營盤高街46號地舖,西環,意大利菜,薄餅,,$101-200,27,5
HABITŪ table (海之戀商場),大河道100號海之戀商場地下G21號舖,荃灣,意大利菜,薄餅,,$101-200,19,0
意粉屋,彌敦道625 & 639號雅蘭中心2樓206號舖,旺角,意大利菜,薄餅,,$101-200,24,4
Italian Tomato (太古城中心),太古城道18號太古城中心B1樓Apita,太古,意大利菜,西式,,$101-200,38,6
Dough Bros Pizza & Doughnuts (MONTEREY Place),澳南海岸唐俊街23號MONTEREY Place地下G18A號舖,將軍澳,意大利菜,西式,,$101-200,15,0
Pepperonis Pizza & Cafe,普通道1592號地舖,西貢,意大利菜,薄餅,,$101-200,154,32
Ouzo Bar & Restaurant,東涌海濱路8號海堤灣畔地下G號舖,東涌,意大利菜,西式,,$101-200,18,0
Mostaccioli Brothers,蘇豪伊利近街16號地舖及地庫,中環,意大利菜,美國菜,,$101-200,47,4
薩莉亞意式餐廳 (黃埔天地百寶坊),黃埔天地百寶坊(第3期)地下G21-23號舖,紅磡,意大利菜,薄餅,,$101-200,51,4
KonFusion Restaurant and Bar,皇后大道西42-56號賴恩樓地下B號舖,上環,意大利菜,西式,,$101-200,28,2
Chill Cafe Bar & Grill,宏照道33號國際交易中心2樓平台花園,九龍灣,意大利菜,西式,,$101-200,41,9
意粉屋,大壩街4-30號荃灣廣場L2樓267-268號舖,荃灣,意大利菜,薄餅,,$101-200,10,0
Davinci Cook,坑口坑口村第三排33號地舖,將軍澳,意大利菜,咪嘥嘢食店,,$101-200,48,9
Dough Bros Pizza & Doughnuts (萬年街),萬年街100號地舖,西貢,意大利菜,西式,,$101-200,13,0
意粉屋,軒尼詩道139號中國海外大廈1樓B號舖,灣仔,意大利菜,薄餅,,$101-200,33,5
BRESOLA,堅尼地城吉席街78-86號娛安樓地下D號舖,西環,意大利菜,海鮮,,$101-200,43,0
PizzaExpress (愉景廣場),廣場徑2號愉景廣場A座地下G01B號舖,愉景灣,意大利菜,薄餅,,$101-200,28,3
Mama mia pizza & pasta,水坑口街22號地舖,上環,意大利菜,薄餅,,$101-200,15,0
意粉屋,百德新街22-36號翡翠明珠廣場1樓Festiva 3號舖,銅鑼灣,意大利菜,薄餅,,$101-200,27,3
Ciao Chow,西營盤西邊街35號蔚峰地下1-2號舖,西環,意大利菜,,,$101-200,14,1
必勝客,屯利街1號華都商場3樓1A號舖,屯門,意大利菜,薄餅,,$101-200,55,7
Cova Pasticceria & Confetteria (海洋中心),廣東道5號海港城海洋中心1樓116A & B號舖,尖沙咀,意大利菜,西式,,$101-200,47,9
