TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RL,NEPAL BAR & RESTAURANT,"G/F, 14 STAUNTON STREET, LOWER MID-LEVELS, CENTRAL, HONG KONG",,114.1529581,22.2818087,72.0,126,0,0,0,2,2,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,PAMPAS ARGENTINIAN STEAK HOUSE,"G/F, 36 ELGIN STREET, CENTRAL, HONG KONG",,114.1525514,22.2816458,72.0,103,0,0,3,2,2,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,McDonald's,"LG/F., 3-3A CASTLE ROAD, CENTRAL, HONG KONG",,114.1510663,22.2818802,125.0,10,0,0,3,3,1,0,1,0,50.72876602564102,55140,2.4186046511627906,0.5326923076923077,0.7224358974358974,0.3974358974358974,0.6085271317829457,0.303,1
RL,McDonald's,"SHOP 267, 2/F., SHUN TAK CENTRE, 200 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,114.1517914,22.2879098,71.0,25,1,2,0,0,4,0,0,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,NAM KEE,"SHOP 3-4, G/F., KAI TAK COMMERCIAL BUILDING, 66-72 STANLEY STREET, CENTRAL, HONG KONG",,114.1547807,22.2830864,71.0,90,0,0,0,1,5,0,0,5,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,Soul Food,"SHOP 3, G/F., MILLION CITY, 26-30 ELGIN STREET, CENTRAL, HONG KONG",,114.1525515,22.2818232,72.0,119,0,0,3,4,2,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,Queen Victoria 8,"G/F. & M/F., 5-8 QUEEN VICTORIA STREET, CENTRAL, HONG KONG",,114.1558955,22.2837831,71.0,48,1,0,0,0,3,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,PEAK CAFE BAR,"SHOP A & B, G/F., 9-13 SHELLEY STREET, CENTRAL, HONG KONG",,114.1528088,22.2816378,72.0,103,0,0,3,2,2,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,Victoria City Restaurant,"SHOP 501, 5/F., CITIC TOWER, 1 TIM MEI AVENUE, ADMIRALTY, HONG KONG",#G,114.1671553972024,22.28063554609224,73.0,5,0,0,0,0,1,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,天一閣素食,"3/F., CODA PLAZA, 51 GARDEN ROAD, CENTRAL, HONG KONG",#G#H,114.1561860005167,22.27637066611851,134.0,3,0,0,0,2,0,0,0,2,38.75262631315658,95300,3.015082956259427,0.5577788894447223,0.6278139069534767,0.3516758379189594,0.4404223227752639,0.238,1
RL,AL DENTE,"G/F., 16 STAUNTON STREET, CENTRAL, HONG KONG",,114.1528923,22.2818357,72.0,129,0,0,0,2,2,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,Queen Victoria 8,"1/F & 2/F, 5-8 QUEEN VICTORIA STREET, CENTRAL, HONG KONG",,114.1558955,22.2837831,71.0,48,1,0,0,0,3,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,美心MX,"SHOP 268, 2/F., SHUN TAK CENTRE, 200 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, CENTRAL, HONG KONG",,114.1516064,22.2880483,71.0,20,1,1,0,0,1,0,0,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,YE SHANGHAI,"UNIT 332, LEVEL 3, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",,114.166341,22.277509,73.0,12,0,0,0,0,0,0,0,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,CAFE DE CORAL,"G/F, CHINACHEM TOWER, 34-37 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,114.1569637,22.2837458,71.0,15,2,1,0,1,6,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,Fresco Restaurant,"G/F, 33 PEEL STREET, CENTRAL, HONG KONG",,114.1531385,22.2832782,61.0,94,0,0,0,7,1,0,0,11,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,JOLLIBEE,"SHOP Z4 (PTN.) G/F & SHOP A, B/M, EURO TRADE CENTRE, 13-14 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,114.157614,22.282815,73.0,15,2,5,0,0,2,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,CAFE DE CORAL,"BASEMENT, G/F(PORTION) & 1/F, CHINACHEM TOWER, 34-37 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,114.1569637,22.2837458,71.0,15,2,1,0,1,6,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,Bouchon Bistro Francais,"SHOP D, G/F, 49 ELGIN STREET, CENTRAL, HONG KONG",,114.1524707,22.2814649,72.0,78,0,0,3,2,1,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RL,TREASURE LAKE SEAFOOD RESTAURANT,"G/F.(PORTION), 1/F.-3/F., HALESON BUILDING, 1 JUBILEE STREET, CENTRAL, HONG KONG",,114.1548504,22.2841437,61.0,53,1,0,1,0,1,0,0,1,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
