TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio
RL,O DELICE !,"SHOP NO. 1002-1004, 1/F, OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES","['E', 'F']",114.11016490967484,22.367655375212266,1012,25,4,10,0,0,1,0,0,0,35.66749758764876,70000,2.9722753346080304,0.5918301704728208,0.864425860405275,0.4630106143454487,0.6376673040152964,0.347
RL,KINGSLEY CAFE & DESSERTS,"SHOP NO. 210, 2/F, NINA MALL 2, 98 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11140668863032,22.368845563553663,1010,18,4,0,0,0,0,0,0,0,35.68124456048738,61910,2.7820823244552058,0.5883376849434291,0.9347258485639687,0.448651000870322,0.7263922518159807,0.399
RL,Anping Grill (Tsuen Wan),"17/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,JACKPOP,"6/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,ITAMAMA,"SHOP NO. UG82 & UG83, UG/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11452190676448,22.36796009930221,1014,12,0,0,0,5,1,0,0,1,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,KOKON 2,"SHOP 3013, 3/F, KOLOUR TSUEN WAN 1, 68 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.11759387427828,22.37057868967325,1005,20,2,0,0,5,0,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,GYU SHIGE,"SHOP 2025, 2/F, OCEAN PRIDE MALL, NO. 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11016490967484,22.367655375212266,1012,25,4,10,0,0,1,0,0,0,35.66749758764876,70000,2.9722753346080304,0.5918301704728208,0.864425860405275,0.4630106143454487,0.6376673040152964,0.347
RL,YUET PUN CHUAN KITCHEN,"SHOP 128, 1/F, LEI MUK SHUE SHOPPING CENTRE, LEI MUK SHUE ESTATE, PHASE 3, TSUEN WAN, NEW TERRITORIES",[],114.13655155996634,22.3781367774951,1018,3,3,0,3,3,0,0,1,0,50.71238303517011,19920,2.7453740157480313,0.45875309217366367,0.9641487111461657,0.48209228121750974,0.0,0.126
RL,SENSU,"SHOP UG78, UG/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.11340761655634,22.369975905106383,999,26,0,0,0,1,0,0,0,0,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,SUSHI TACHI,"G/F, NO. 40 LO TAK COURT, TSUEN WAN, NEW TERRITORIES","['E', 'F', 'G', 'H']",114.11548431688708,22.372742897073152,990,23,0,0,2,0,1,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,潮樂魚蛋牛什粉麵,"G/F, NO. 29 TSUEN WAN MARKET STREET, TSUEN WAN, NEW TERRITORIES",[],114.11722498671952,22.371826880784624,993,10,6,0,0,2,0,0,0,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,G one sushi (Tsuen wan),"SHOP D, G/F, TAI YUEN HOUSE, 77-83 TAI PA STREET, 59-61 YUEN TUN CIRCUIT, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.1121197371334,22.37112024443742,997,9,0,0,0,1,1,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,上官御品,"SHOP E, G/F, DAO SHING BUILDING, NO. 51 HEUNG WO STREET, TSUEN WAN, NEW TERRITORIES",[],114.11213800968238,22.37172110116656,997,12,0,0,0,4,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,文昌雞鹵水鵝,"SHOP A1, G/F, LING PING BUILDING, 15, 17 & 19 TSUEN WAN MARKET STREET, TSUEN WAN, NEW TERRITORIES",[],114.1168231582813,22.37199594377168,993,9,4,0,0,3,0,0,1,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,THAI 2.0,"SHOP NO. 2030, LEVEL 2, D-PARK, DISCOVERY PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1126549216512,22.3758308321125,978,14,0,0,0,0,0,0,0,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,源記,"SHOP 2, G/F,  2-8 YI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.1159375263918,22.369735009209123,999,3,3,0,0,3,0,0,4,8,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,Five Dragons,"SHOP 1, 5/F, PLAZA 88, 88 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11577357636564,22.36730995698241,1014,3,0,0,1,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,B.O.T.H. By texas burger,"SHOP 337 AND SEATING AREA IN SHOP FRONT, LEVEL 3, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11080629290586,22.37086882925168,998,31,1,0,3,4,1,0,0,0,49.816964285714285,39130,2.966887417218543,0.5416666666666666,0.9553571428571429,0.5379464285714286,0.8013245033112583,0.214
RL,嚐點,"SHOP M32, 1/F, PODIUM D, RIVIERA MARKET, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",[],114.1134657548984,22.36310471386344,1008,12,2,0,1,2,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,潮興美食,"SHOP 6, G/F, CHEN HSIN MANSION , SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11677060374842,22.369033946827543,1006,13,5,0,2,4,2,0,0,5,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,KOREAN LOFT CAFE,"SHOP NO. G4-6, G/F, FOO YU BUILDING, 275 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11634329432452,22.37376947066457,1001,8,3,6,0,0,2,0,1,0,38.995377813504824,33230,2.5387755102040814,0.5265273311897106,0.9726688102893891,0.4565916398713826,0.7408163265306122,0.301
RL,Hop Kee Seafood Restaurant,"G/F, 29 YI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11584239179076,22.368939273231163,999,10,4,0,2,3,1,0,0,6,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,Yakiniku Guu,"SHOP 1-02, 1/F, TAI HUNG FAI (TSUEN WAN) CENTRE, NO. 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11692000000004,22.37000000000006,995,23,0,0,0,2,2,0,0,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,肥仔大排檔,"SHOP NO. 6 & 7, G/F, BLOCK 1 OF HARMONY GARDEN, NO. 89 HAM TIN STREET, TSUEN WAN, NEW TERRITORIES",[],114.1168747069858,22.367692800409955,1007,4,3,0,3,2,0,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,譚仔雲南米線,"SHOP 2077, LEVEL 2, D. PARK, DISCOVERY PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1126549216512,22.3758308321125,978,14,0,0,0,0,0,0,0,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,MAY CAFE,"G/F, 63 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11184506216637,22.371259677396736,997,10,0,0,0,1,0,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,Happy Lamb Hot Pot (Shop 3),"5/F, TAI HUNG FAI (TSUEN WAN) CENTRE, NO. 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,THE ITAEWON,"SHOP 1019, LEVEL 1, DISCOVERY PARK SHOPPING CENTRE, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11182117374231,22.37610592617472,978,6,0,0,0,0,0,0,0,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,Ebisoba Ichigen,"SHOP NO. UG02, UG/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11340761655634,22.369975905106383,999,26,0,0,0,1,0,0,0,0,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,BENTOYA,"SHOP G13, G/F, THE MILLS, 45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",[],114.11017236956872,22.374950355093432,988,15,0,0,0,0,0,0,0,0,36.55153917910448,14630,2.977777777777778,0.4216417910447761,0.9169776119402985,0.5,0.17222222222222222,0.211
RL,E POT,"19/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,No Record,"PORTION B, SHOP 1 ON THE 8TH FLOOR OF THE COMMERCIAL DEVELOPMENT OF THE AURORA, NO. 88 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11577357636564,22.36730995698241,1014,3,0,0,1,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,No Record,"FLAT B, ON GROUND FLOOR INCLUDING THE COCKLOFT THEREOF, TAK YAN HOUSE, STAGE 15, 19-27 TAI PA STREET , TSUEN WAN, NEW TERRITORIES",[],114.11091073141944,22.371764435605968,997,13,0,0,1,0,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,Night Barbecue,"SHOP NO. B1 ON THE GROUND FLOOR OFWAH SING BUILDING BLOCK B, NOS. 80-84 HAU TEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11514904076006,22.37102502601735,995,13,0,0,4,6,1,0,5,11,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,Sicdorak,"SHOP C, G/F, KA WAH BUILDING, NOS. 16-22 HEUNG WO STREET, TSUEN WAN, NEW TERRITORIES",[],114.1109840730722,22.371931025931573,997,16,0,0,1,0,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,No Record,"SHOP NO. UG81, UG/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11452190676448,22.36796009930221,1014,12,0,0,0,5,1,0,0,1,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,(no record found),"G/F, NO. 57 SHAM TSENG VILLAGE , TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.05902230835476,22.367309202611125,1061,10,2,0,0,5,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,Milk Café,"SHOP NO. G6&G7, G/F, PLAZA 328, BO SHEK MANSION, 328 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.117519191521,22.368722768672143,1007,7,3,0,4,6,2,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,Momo Classic & Chicken Factory,"SHOP NO. B101-B104, 1ST BASEMENT, TSUEN WAN PLAZA SHOPPING CENTRE, 4-30, TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11080629290586,22.37086882925168,998,31,1,0,3,4,1,0,0,0,49.816964285714285,39130,2.966887417218543,0.5416666666666666,0.9553571428571429,0.5379464285714286,0.8013245033112583,0.214
RL,Obaby,"SHOP NO.6, G/F, HEUNG SHING BUILDING, 6, 8, 12 & 14 HEUNG SHING STREET, TSUEN WAN, NEW TERRITORIES",[],114.11095708334398,22.372370950119745,997,11,0,0,1,0,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,IKIGAI CONCEPTS,"SHOP NO. 211, 2/F, NINA MALL 2, NO. 98 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.11140668863032,22.368845563553663,1010,18,4,0,0,0,0,0,0,0,35.68124456048738,61910,2.7820823244552058,0.5883376849434291,0.9347258485639687,0.448651000870322,0.7263922518159807,0.399
RL,Yu Mai,"SHOP NO. 105, 1/F, GRAND CITY PLAZA, 1-17 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11428612382817,22.37482169287969,978,4,0,0,0,2,6,0,1,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,Chinese Sauerkraut Fish,"SHOP NOS. 3017-3018, 3/F, OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11016490967484,22.367655375212266,1012,25,4,10,0,0,1,0,0,0,35.66749758764876,70000,2.9722753346080304,0.5918301704728208,0.864425860405275,0.4630106143454487,0.6376673040152964,0.347
RL,別忘了,"SHOP NO. 2032, 2/F, KOLOUR · TSUEN WAN I, 68 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11755000000004,22.37089000000003,1005,20,3,0,0,5,0,0,0,2,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,GOD OF COOKERY,"SHOP 30-60(D), 2/F, WALDORF CENTRE, 130-142 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11963872337697,22.37164486775717,1002,12,0,0,0,1,0,0,0,1,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,BURGER HERO,"SHOP 13B, G/F, TSUEN TAK GARDEN, 208 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10639456198852,22.37666198163137,977,4,1,0,3,0,0,0,1,0,38.5139751552795,41680,2.5266792215944758,0.5840993788819876,0.9503105590062112,0.4795031055900621,0.7953546767106089,0.324
RL,Sen Sen Sushi,"UNIT TW-16, SHOP NOS. 2001-2005, 2010-2017 & 2056-2097, 2/F, OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES","['E', 'F', 'G', 'H']",114.11016490967484,22.367655375212266,1012,25,4,10,0,0,1,0,0,0,35.66749758764876,70000,2.9722753346080304,0.5918301704728208,0.864425860405275,0.4630106143454487,0.6376673040152964,0.347
RL,BLZ Restaurant,"2/F, CHEONG YIU MANSION, 167-173 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11858235211974,22.371670432561857,994,14,3,0,0,2,5,0,0,1,52.57441956882255,32330,2.817757009345794,0.5306799336650083,0.961028192371476,0.45107794361525705,0.780373831775701,0.446
RL,T-FRESH,"SHOP NO. 101, 1ST FLOOR, GRAND CITY PLAZA, NOS. 1-17 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11428612382817,22.37482169287969,978,4,0,0,0,2,6,0,1,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,Nha Trang (CW) Vietnamese Cuisine,"SHOP NOS. G30, G32 & G36, G/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11340761655634,22.369975905106383,999,26,0,0,0,1,0,0,0,0,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,LA MENSA GRILL & BAR,"SHOP 5-7, G/F, COMMERCIAL DEVELOPMENT ""THE AURORA"", NO. 88 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11577357636564,22.36730995698241,1014,3,0,0,1,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,SUSHI GEN,"SHOP 16, G/F, PLAZA 88, AURORA, 88 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES","['E', 'F', 'G', 'H']",114.11577357636564,22.36730995698241,1014,3,0,0,1,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,No Record,"11/F, OPTIMALL, NO. 118 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.11489657783642,22.36922886798588,999,9,2,0,0,5,1,0,1,2,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,Honorary Family,"NO. 64, G/F & NO. 44-66, 1/F, SHEK YAM ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.1397112860064,22.36872930655663,1041,6,0,0,1,6,0,0,4,3,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,食口福,"G/F., 58 WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13777934114349,22.36682049574648,1047,0,1,0,1,2,1,0,1,1,36.34342140738744,49130,2.8013595166163143,0.5831760582367215,0.9088703154489081,0.48260986788891885,0.5626888217522659,0.289
RL,坤記粥品,"G/F, 94 SHEK YAM ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13963358576392,22.369699930944336,1041,5,1,0,0,8,0,0,5,3,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,金來越南粉,"NO. 13, INTERIA BLOCK, TAK CHEONG BUILDING, 1001 KWAI CHUNG ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13326836849252,22.367191897876182,1026,10,0,0,0,3,1,0,5,0,40.080427446569175,19910,2.9423167848699765,0.475976217258557,0.9389362044030211,0.4456050136590069,0.5839243498817966,0.325
RL,KARACHI havAbite,"G/F, BLOCK B, KWAI FUNG BUILDING, PING LAI PATH, 456 CASTLE PEAK ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13476763951348,22.36809324583416,1046,4,0,0,0,0,0,0,2,0,38.880566657151014,20050,2.5569343065693433,0.5047102483585498,0.9521838424207821,0.47830431059092204,0.5109489051094891,0.323
RL,復興粥麵家,"NO. S9, G/F., YAT KING HOUSE, LAI KING ESTATE, KWAI CHUNG, NEW TERRITORIES",[],114.12679251009916,22.349979827343475,1055,1,0,0,0,9,0,0,0,0,52.87786864725027,18500,2.602171552660152,0.44170908787448887,0.941166652758074,0.45497788533756156,0.10206297502714441,0.103
RL,仙花園餐廳,"SHOP NO. 1, BLOCK 7, KWAI SHING ESTATE, KWAI CHUNG, NEW TERRITORIES",[],114.12255679914848,22.36457666026641,1039,0,0,0,0,1,0,0,1,0,51.21860095389507,23280,3.129353233830846,0.42289348171701113,0.9825119236883942,0.4661367249602544,0.005970149253731343,0.153
RL,好味皇,"BLOCK B & C, G/F, 464 CASTLE PEAK ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13476763951348,22.36809324583416,1046,4,0,0,0,0,0,0,2,0,38.880566657151014,20050,2.5569343065693433,0.5047102483585498,0.9521838424207821,0.47830431059092204,0.5109489051094891,0.323
RL,Carnival Restaurant,"G/F-3/F, LAI KING RESTAURANT, LAI KING ESTATE, KWAI CHUNG, NEW TERRITORIES",[],114.12613377632856,22.349142139940128,1055,0,0,4,0,4,1,0,0,0,52.87786864725027,18500,2.602171552660152,0.44170908787448887,0.941166652758074,0.45497788533756156,0.10206297502714441,0.103
RL,大光明飯店,"SHOP NO. 5, G/F, TAK CHEONG BUILDING, 1001 KWAI CHUNG ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13326836849252,22.367191897876182,1026,10,0,0,0,3,1,0,5,0,40.080427446569175,19910,2.9423167848699765,0.475976217258557,0.9389362044030211,0.4456050136590069,0.5839243498817966,0.325
RL,豪華茶餐廳,"NO. 14 AND NO. 16 (MAJOR PORTION), G/F, PING FU PATH, KWAI CHUNG, NEW TERRITORIES",[],114.13535437273578,22.36690343467841,1046,6,0,0,0,3,0,0,1,0,38.880566657151014,20050,2.5569343065693433,0.5047102483585498,0.9521838424207821,0.47830431059092204,0.5109489051094891,0.323
RL,新聯發燒臘飯店,"BLOCK C, G/F, KWOK PO MANSION, 107 SHEK YAM ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13942672039354,22.370086252861697,1041,3,2,0,4,7,0,0,5,2,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,Tasteful Restaurant,"G/F (PORTION) & 1/F, TAK TAI BUILDING, 35 TEXACO ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.12310640053964,22.36905955354173,1023,9,0,0,1,4,0,0,1,0,37.62180008126778,23190,2.793416572077185,0.4550995530272247,0.9861844778545307,0.48760666395774077,0.4108967082860386,0.284
RL,才興茶餐廳,"G/F, 27 TAI PAK TIN STREET, KWAI CHUNG, NEW TERRITORIES",[],114.13963559742068,22.367553493179173,1041,6,0,0,3,3,0,0,5,0,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,好景餐廳,"G/F, 16 PING LAI PATH, KWAI CHUNG, NEW TERRITORIES",[],114.1353288079311,22.367541046052963,1046,10,0,0,0,1,0,0,1,0,38.880566657151014,20050,2.5569343065693433,0.5047102483585498,0.9521838424207821,0.47830431059092204,0.5109489051094891,0.323
RL,喜悅皇宮,"G/F(PORTION) & 2/F, COMMERCIAL CENTRE, CHEUNG HONG ESTATE, TSING YI, KWAI CHUNG, NEW TERRITORIES",[],114.09846922107904,22.34984060393174,1076,0,1,0,2,1,0,0,0,0,52.244974570113826,17660,2.5465646971752807,0.4262048922257205,0.9737466698958586,0.47096149188665537,0.0,0.088
RL,進美餐廳,"SHOP NO. 2, G/F., 7 SHEK YING PATH, KWAI CHUNG, NEW TERRITORIES",[],114.13653420942671,22.364728540351948,1041,0,0,0,5,10,0,0,5,0,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,達成餐廳,"G/F, BLOCK C, MEI FUNG BUILDING, 7 YAN FONG STREET, LOWER KWAI CHUNG, KWAI CHUNG, NEW TERRITORIES",[],114.12713641958646,22.36055766342234,1033,4,0,0,4,5,0,0,1,0,39.21996215704825,26040,2.7200205867215645,0.49441816461684013,0.9581835383159887,0.44295175023651845,0.6181163149768399,0.349
RL,Fat Kee Kitchen,"G/F & C/L, 7 KWONG FAI CIRCUIT, KWAI CHUNG, NEW TERRITORIES",[],114.13271046901713,22.367549344137103,1026,14,0,0,3,4,1,0,9,0,40.080427446569175,19910,2.9423167848699765,0.475976217258557,0.9389362044030211,0.4456050136590069,0.5839243498817966,0.325
RL,泰旺泰國小菜,"G/F, 127 WO TONG TSUI STREET, KWAI CHUNG, NEW TERRITORIES",[],114.1328304978706,22.367512254215555,1026,11,0,0,3,4,1,0,9,0,40.080427446569175,19910,2.9423167848699765,0.475976217258557,0.9389362044030211,0.4456050136590069,0.5839243498817966,0.325
RL,大光明燒臘飯店,"SHOP NO. 7, G/F, MAN SHING BUILDING, KWONG FAI LANE, KWAI CHUNG, NEW TERRITORIES",[],114.13327096688248,22.3686431825015,1026,9,0,0,3,3,0,0,4,0,40.080427446569175,19910,2.9423167848699765,0.475976217258557,0.9389362044030211,0.4456050136590069,0.5839243498817966,0.325
RL,金椰林茶餐廳,"G/F., 132 WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13951514947206,22.36875742784177,1041,3,0,0,0,6,0,0,4,3,49.80904607278519,22430,2.959564823209429,0.4419188824898909,0.9620144590123759,0.4818037005268962,0.5309156844968268,0.323
RL,歡聚餐廳小廚,"G/F, 23 TEXACO ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.12326356122423,22.36948325874725,1023,5,0,0,1,4,0,0,0,0,37.62180008126778,23190,2.793416572077185,0.4550995530272247,0.9861844778545307,0.48760666395774077,0.4108967082860386,0.284
RL,德發鳳凰粥麵,"G/F., 25 TEXACO ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.12326356122423,22.36948325874725,1023,5,0,0,1,4,0,0,0,0,37.62180008126778,23190,2.793416572077185,0.4550995530272247,0.9861844778545307,0.48760666395774077,0.4108967082860386,0.284
RL,返尋味小廚,"SHOP NO. 11, 1/F., SHUI KING BUILDING, KCTL 241, WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13601264817892,22.36543906300336,1046,6,0,0,2,7,0,0,6,0,38.880566657151014,20050,2.5569343065693433,0.5047102483585498,0.9521838424207821,0.47830431059092204,0.5109489051094891,0.323
RL,興盛小館,"SHOP A-5, 30, 31 AND 32, G/F AND SHOP B8 (PORTION), 1/F, KWAI CHUNG CENTRE, 100 KWAI HING ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13174000000004,22.36388000000005,1029,4,3,3,1,5,4,0,0,0,49.30263783269962,40090,2.8128342245989306,0.5175855513307985,0.9591254752851711,0.44866920152091255,0.8516042780748663,0.4
