TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,92,2292807031,醉鮮,"G/F & C/L, 24 SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2023-02-20,22.36875206342374,114.11658838117336,[1006]
RL,92,2292807040,家益香上海餛飩皇,"G/F, 83 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",,2023-03-03,22.36904941143889,114.11615964682596,[999]
RL,92,2292807059,Itamomo Plus,"SHOP 51-75, 2/F, TSUEN KAM CENTRE, 338 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2023-03-04,22.37425386176196,114.11459249595336,[1001]
RL,92,2292807077,Mom's Dry Noodle Shop (Tsuen Wan Plaza),"SHOP 441A, LEVEL 4, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",,2023-03-10,22.37086882925168,114.11080629290586,[998]
RL,92,2292807086,荃德餐廳小廚,"SHOP 5B, G/F, TSUEN TAK GARDENS, 208 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",,2023-03-08,22.37666198163137,114.10639456198852,[977]
RL,92,2292807095,M&C DUCK,"SHOP NO. 508-510, LEVEL 5, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",,2023-03-25,22.37086882925168,114.11080629290586,[998]
RL,92,2292807101,homu,"SHOP 2013, L2, D-PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2023-03-25,22.3758308321125,114.1126549216512,[978]
RL,92,2292807110,FLEUR,"UNIT G08, G/F, THE MILLS, NO.45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",,2023-03-26,22.374950355093432,114.11017236956872,[988]
RL,92,2292807129,Wow Fried Chicken,"SHOP A1, G/F, TSUEN WAN BUILDING STAGE NO. 2, 77-81 HOI PA STREET, 2-6 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",,2023-03-29,22.37237920629437,114.11509690532232,[990]
RL,92,2292807138,The uniek,"PORTION OF UNIT 111, 1/F, THE MILLS, 45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",,2022-04-21,22.374950355093432,114.11017236956872,[988]
RL,92,2292807147,堯記餐廳小廚,"G/F, NO. 9 LEI SHU ROAD, TSUEN WAN, NEW TERRITORIES",,2022-04-22,22.37621883041049,114.13573424058768,[1019]
RL,92,2292807156,銘記美食,"SHOP 325, PODIUM FLOOR, SHOPPING CENTRE, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",,2022-04-23,22.375272666000058,114.12420821800004,[1022]
RL,92,2292807165,Joyous Gate Banquet,"SHOP NOS. 2021, 2022, 2023 & 2024, 2/F, OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-04-23,22.367655375212266,114.11016490967484,[1012]
RL,92,2292807174,Sunshine Restaurant,"G/F, NO. 122 TSUEN WAN MARKET STREET, TSUEN WAN, NEW TERRITORIES",,2022-04-26,22.370028794915427,114.11995773861184,[1004]
RL,92,2292807183,譚仔三哥米線,"SHOP 202 ON 2/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, 64-98 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-04-27,22.37376947066457,114.11634329432452,[1001]
RL,92,2292807192,Aburi Wami Japanese Restaurant,"SHOP B119A ON THE BASEMENT 1/F, THE PANDA PLACE, PANDA HOTEL, 3 TSUEN WAH STREET, TSUEN WAN, NEW TERRITORIES",,2023-04-29,22.36910355853341,114.1206700327437,[996]
RL,92,2292807208,Palate Mansion,"UNIT 109 & 110, 1/F, THE MILLS, 45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",,2022-05-01,22.374950355093432,114.11017236956872,[988]
RL,92,2292807217,紅茶,"G/F, 49-51 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",,2022-05-01,22.37139533849964,114.1115988856701,[997]
