TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,18,2214119558,新高麗苑韓國餐廳,香港卑路乍街113-119號1字樓,,2024-12-01
RL,18,2214119743,海港酒家,香港安泰街7號 康威花園地下,,2024-12-04
RL,18,2214122275,金祥排骨麵,香港德輔道西316C號地下,,2024-05-04
RL,18,2214125399,堂水。啡,香港薄扶林道35-37號 地庫前座,#G#H,2024-10-23
RL,18,2214126453,潮順記,香港加多近街45-55號 恒裕大廈地下1及2號舖,,2024-12-18
RL,18,2214127951,McDonald's,香港皇后大道西265號地下,,2024-04-16
RL,18,2214129328,卓玲茶餐廳,香港水街1號K東利大樓地下,,2024-07-01
RL,18,2214134555,西營盤好彩海鮮酒家,香港干諾道西118號 一洲國際廣場1字樓,,2024-03-04
RL,18,2214135938,明星,香港西區德輔道西271-285號 均益大廈第三期地下(部份)及1樓大部份,,2024-04-22
RL,18,2214138885,滋味燒味王,香港皇后大道中378號 地下3及10號舖,,2024-09-08
RL,18,2214138894,大快活,香港皇后大道中368號 偉利大廈2樓203號舖,,2024-09-08
RL,18,2214140484,加記,香港卑路乍街24A號 懋華大廈地下,,2024-11-03
RL,18,2214145230,德記潮州菜館,香港堅彌地城海旁20-21號 益豐花園地下(部份),,2024-04-20
RL,18,2214147315,高彭滿座,香港加倫臺2號 榮富洋樓地下,,2024-06-14
RL,18,2214149409,蛇王海,香港第一街119號地下,,2024-08-23
RL,18,2214151132,大舞台飯店,香港德輔道中323號 西港城1樓部份，2樓及平台,,2024-10-15
RL,18,2214153794,尚興,香港皇后大道西27-39號 新成大廈地下及閣樓5及6號舖,,2024-12-13
RL,18,2214154645,美味苑,香港德輔道西 296-302號地下7及8號舖,,2024-12-17
RL,18,2214155356,McDonald's,香港般咸道51-53號 好景洋樓地下及 地下低層A-C舖,,2025-01-13
RL,18,2214158841,KONFUSIONRestaurantandBar,香港皇后大道西42-56號 地下B舖,,2024-05-16
RL,18,2214161948,新一,香港皇后大道西416號地下,,2024-08-18
RL,18,2214164327,Centre Street Kitchen,香港干諾道西152號1樓部份,#F#G#H,2024-10-21
RL,18,2214165065,Café Malacca,香港皇后大道西508號2樓,,2024-11-02
RL,18,2214172854,德利潮州菜館,香港德輔道西299號地下,,2024-04-19
RL,18,2214173501,康樂,香港第一街102號地下,,2024-05-16
RL,18,2214174106,車厘餐廳,香港水街25-35號樂新大廈地下3號舖,#G#H,2024-05-29
RL,18,2214175871,生記鹵味,香港皇后大道西253-263號 和益大廈地下4號舖,,2024-07-05
RL,18,2214188701,馬來亞餐廳,香港般咸道37-47號 穎章大廈地下1D舖,,2024-05-23
RL,18,2214189917,金源餐廳,香港上環水坑口街14號地下,,2024-07-06
RL,18,2214193707,越蘆越南牛肉粉,香港上環皇后大道西2-12號 聯發商業中心地下B鋪,,2024-10-31
RL,18,2214197028,深井咖喱寶,香港堅彌地城吉席街27-31號地下A舖,,2024-01-31
RL,18,2214198216,海港酒家,香港卑路乍街8號 西寶城2字樓243號舖,,2024-03-11
RL,18,2214198997,McDonald's,香港卑路乍街8號西寶城 地下低層LG07號舖,,2024-04-03
RL,18,2214209963,Bistro du Vin,香港堅彌地城 加多近街39-41號地下A鋪,,2024-02-20
RL,18,2214210903,新園,香港皇后大道中327-329號地下,,2024-06-30
RL,18,2214212121,點點心思點心店,香港西區荷蘭街1-3號 地下A舖,,2024-05-19
RL,18,2214213498,客常臨,香港皇后大道西230號地下A舖,,2024-06-24
RL,18,2214216813,綠易食品坊,香港水街5B號地下3號舖,,2024-10-23
RL,18,2214224942,珠江船務飯堂,"香港上環干諾道西21-24號 地下A,B,J,H舖",,2024-06-14
RL,18,2214229293,北方餃子源,香港水街1號地下1F號舖,,2024-10-31
RL,18,2214233889,井巷子,香港干諾道中145號 地下及閣樓,#F#G#H,2024-03-23
RL,18,2214234323,鴻興餐廳,香港薄扶林道22-32號 恒輝大廈地下 5-8號舖,,2024-04-13
RL,18,2214234509,綠島,香港水坑口街16A號地下,,2024-04-14
RL,18,2218800038,台灣郎,香港西營盤德輔道西 260-264號正德大廈地下A舖,,2024-05-27
RL,18,2218800065,利苑酒家,香港中環港景街一號 國際金融中心商場三樓3008至3011店,,2024-06-02
RL,18,2218800269,大快活快餐,香港金鐘夏愨道16號 遠東金融中心地下上層A3舖,,2024-07-17
RL,18,2218800311,唐述,香港中環國際金融中心商場 3樓3101-3107號舖,#E#F#G,2024-08-04
RL,18,2218800418,南北小聚,香港干諾道中137-138號地下A及B舖,,2024-09-02
RL,18,2218800454,Four Seasons Hotel,香港中環金融街8號 香港四季酒店6層裙樓A部份,#F,2024-09-14
RL,18,2218800481,食神麗宮,香港德輔道西304-314號 地下(主要部份),,2024-09-20
RL,18,2218800597,Four Seasons Hotel,香港中環金融街8號 香港四季酒店4層裙樓A部份,,2024-10-20
RL,18,2218800791,天蓬,香港中環昭隆街17號地下,,2024-12-06
RL,18,2218800807,Four Seasons Hotel,"香港中環金融街8號香港四季酒店1層地庫A部份, 2層裙樓大堂宴會廳及會議廳及4層裙樓小宴會廳",#F,2024-12-13
RL,18,2218800816,The LOUNGE,香港中環金融街8號香港四季酒店 1層裙樓大堂吧及酒吧,#F,2024-12-14
RL,18,2218800861,吉野家,香港中環干諾道中15-18號大昌大廈地下,#G,2025-01-12
RL,18,2218800898,Trattoria Piccolo,香港西環堅尼地城加多近街39及41號地下B鋪,#F#G#H,2024-02-15
RL,18,2218800913,可可店,香港堅尼地城卑路乍街136-142號 聯威新樓地下E及F鋪,,2024-03-01
RL,18,2218800968,CAFÉ DE SAVOY,香港中環德輔道中99-105號大新人壽大廈地庫,#F,2024-04-09
RL,18,2218800995,曜謨,香港堅尼地城厚和街28號 順昌大廈地下G鋪,,2024-04-10
RL,18,2218801004,坤記煲仔小菜,香港西營盤皇后大道西263號和益大廈地下1及2號鋪,,2024-05-11
RL,18,2218801013,華大盛品酒店,香港德輔道西308號三樓,,2024-05-16
RL,18,2218801086,寶蓮苑素食,香港皇后大道西308號地下,,2024-06-23
RL,18,2218801095,瑞榮小館,香港德輔道西382號地下,,2024-06-23
RL,18,2218801110,佳記,香港堅尼地城卑路乍街102-114號聯友大廈地下B及C鋪,,2024-07-06
RL,18,2218801129,AMBER,香港中環置地廣場 皇后大道中15號置地文華東方酒店七字樓主要部份,#E#F#G#H,2024-01-13
RL,18,2218801156,Little Lucies,香港高街76-78號恆陞大樓地下,,2024-08-13
RL,18,2218801174,五龍,"香港中環租庇利街17-19號順聨大廈地下1,2及3號鋪",,2024-09-10
RL,18,2218801183,Bistecca Italian Steak House,香港蘭桂坊15-16號德己立街58-62號協興大廈2樓,,2024-09-10
RL,18,2218801235,松本日本料理,香港半山列堤頓道43號福華洋樓地下,#G#H,2024-10-11
RL,18,2218801244,Bonheur,香港文咸東街22至26號柏廷坊6樓,,2024-10-15
RL,18,2218801253,金玥,香港堅尼地城卑路乍街22號地下,,2024-10-19
RL,18,2218801314,波記燒臘粉麵店,香港皇后大道西425號P地下,,2024-11-15
RL,18,2218801411,巴依餐廳,香港西環水街43號地下,,2025-01-02
RL,18,2218801457,BURGER KING-THE PEAK,香港山頂道128號凌霄閣1層1號餐廳,,2024-01-28
RL,18,2218801466,GENKI SUSHI,香港干諾道中２００號信德中心 ２樓２４１號鋪,#G#H,2025-01-28
RL,18,2218801475,香港地,香港山頂道128號凌霄閣P1層P102號鋪,,2025-01-28
RL,18,2218801509,麥當勞餐廳,香港夏慤道18號海富中心地下1-41號鋪A部份,,2024-01-29
RL,18,2218801527,阿甘海鮮,香港山頂道128號凌霄閣第3層5號餐廳,,2024-02-21
RL,18,2218801615,wildfire+,香港山頂道128號凌霄閣1樓2號餐廳,#F,2024-04-09
RL,18,2218801642,必勝客,香港上環蘇杭街49至51號建安商業大廈地下,,2024-04-16
RL,18,2218801660,四季菊,香港中環金融街8號四季酒店4樓平台B部份,#D#G#H,2024-05-03
RL,18,2218801679,L'Atelier de Joel Robuchon,香港皇后大道中15號置地廣場315號鋪 小部份及401號鋪部份,#F#G,2024-05-08
RL,18,2218801767,正斗,香港中環港灣街1號國際金融商場平台3樓 3016-3018號鋪,,2024-06-26
RL,18,2218801785,同撈同煲,香港西營盤第三街168-170號地下1號鋪,,2024-07-15
RL,18,2218801925,力寶軒,香港金鐘道89號力寶中心地下4號鋪,,2024-08-26
RL,18,2218801952,神座日本料理,香港士美非路45號及科士街34號聯德大樓地下E鋪,#G#H,2024-09-04
RL,18,2218801961,SOBREMESA,香港中環伊利近街9號地下,,2024-09-13
RL,18,2218802016,大家樂,香港皇后大道西292-298號八達大廈中層地下鋪,,2024-10-01
RL,18,2218802034,香港潮州商會會員俱樂部有限公司,香港西區德輔道西81-85號潮州會館大廈1樓,,2024-10-03
RL,18,2218802089,壽司喰,香港中環威靈頓街2-8號威靈頓廣場1字樓,#G#H,2024-10-16
RL,18,2218802140,Zuma,香港中環畢打街11號置地廣場6樓601至603號店鋪及5樓5 01至503號店鋪,#E#F#G#H,2024-11-25
RL,18,2218802177,泰尚泰國菜館,香港堅尼地城厚和街38號持平大廈地下C及D號鋪,,2024-11-29
RL,18,2218802210,CHAIWALA,香港中環雲咸街43-55號余悅禮行 地下低層及地下(部分),,2024-12-26
RL,18,2218802371,BBQ,香港西營盤第三街129號地下,,2024-04-08
RL,18,2218802380,大家樂,"香港堅尼地城北街16-30號建隆樓地下F, G, H, J, K, L, M, N, P, Q和R號鋪",,2024-04-17
RL,18,2218802414,WATERMARK,香港中環7號碼頭(天星碼頭)L鋪,#F#G,2024-04-24
RL,18,2218802432,Sagrantino,香港中環威靈頓街33號 THE LOOP 5字樓,,2024-05-05
RL,18,2218802450,Canteen,香港中環孖沙街19-21號祝安大廈地下,,2024-05-28
RL,18,2218802487,大家樂,香港皇后大道中33號萬邦行 地下2-3號鋪,,2024-06-23
RL,18,2218802502,Mo Mo Cafe,香港干諾道西167號 COURTYARD BY   MARRIOTT HONG KONG 二樓,#F#G#H,2024-06-29
RL,18,2218802511,霞飛飛,香港皇后大道中33號萬邦行二字樓211號鋪,,2024-07-08
RL,18,2218802520,Cafe Cool,"香港西環德輔道中323號西港城地下1號及3號, 1號前鋪及對 面鋪",,2024-07-10
RL,18,2218802548,高等法院餐廳,香港金鐘道38號高等法院一樓(部份),,2024-07-14
RL,18,2218802584,濠景茶餐廳,香港西營盤德輔道西143-145號地下,,2024-08-03
RL,18,2218802636,SEVVA,香港中環遮打道10號太子大廈25樓及25樓頂層平台露天座位間,#A,2024-09-11
RL,18,2218802812,四季茶餐廳,"香港高街26,28,32-38號昌景閣地下4號鋪",,2024-12-23
RL,18,2218802867,翠苑餐廳,香港上環正街23-25號地下,,2025-01-18
RL,18,2218802900,唯一軒,香港中環堅道59號地下低層,,2024-01-22
RL,18,2218802919,Namaste Kitchen,香港上環皇后大道西38號美意居地下1號鋪,,2024-01-22
RL,18,2218802955,Motorino Pizzeria,香港中環些利街14號地下,,2024-02-05
RL,18,2218802982,大快活快餐,香港夏慤道12號美國銀行中心地下G3鋪,,2024-02-16
RL,18,2218802991,潮廳,香港皇后大道中9號嘉軒廣場2字樓222鋪,,2024-02-23
RL,18,2218803073,尚興潮州,香港皇后大道西27-39號及文咸西街32-42號新成大廈地下 3號鋪,,2024-04-23
RL,18,2218803116,浦和日本料亭,香港德輔道中244-252號東協商業大廈地庫及地下通往地庫 的入口範圍,#E#F#G#H,2024-04-29
RL,18,2218803161,味千拉麵,香港中環干諾道中200號信德中心2字樓231B號鋪,,2024-05-24
RL,18,2218803170,肯 德 基,香港中環干諾道中２００號信德中心２樓２３１Ａ鋪,,2024-05-28
RL,18,2218803231,Santorini,香港伊利近街51號 伊利閣地下低層,,2024-07-09
RL,18,2218803301,雞功房,香港上環禧利街17至19號普益商會大廈地下及閣樓,,2024-09-06
RL,18,2218803365,DOMON 居酒屋,香港卑路乍街8號西寶城高層地下UG15號舖,#G#H,2024-10-05
RL,18,2218803383,忠記粥品,香港上環機利文新街32至34號天澤行地下A鋪,,2024-10-11
RL,18,2218803408,新五龍粥麵茶餐廳,香港德輔道西19-23號地下,,2024-11-17
RL,18,2218803417,桃源川粵小廚,香港西環石塘咀日富里7-13號富基大廈地下2號鋪,,2024-11-17
RL,18,2218803426,上海弄堂肉餛飩Ⅲ,香港中環歌賦街35-37號地下,,2024-11-17
RL,18,2218803435,蓮香居,"香港上環德輔道西40-50號一樓(部份),二樓及三樓",,2024-11-24
RL,18,2218803444,SALISTERRA,香港金鐘金鐘道88號太古廣場上層49樓,#E#F,2024-11-26
RL,18,2218803453,順發燒味,香港堅尼地城卑路乍街87號地下,,2024-12-06
RL,18,2218803471,沒有紀錄,香港中環安和里14號歌賦街29-31號地牢,,2024-12-16
RL,18,2218803514,Lucky,香港中環榮華里8-16號榮華大廈B座地下16號舖,,2024-12-20
RL,18,2218803596,宜加,香港堅尼地城卑路乍街51號地下,,2024-02-08
RL,18,2218803657,Yummy,香港中環皇后大道中33號萬邦行地下低層4號鋪,,2024-03-17
RL,18,2218803675,LUMI,香港金鐘道88號太古廣場第三層301A及301鋪(主要部份),#G,2024-03-30
